"ITTER107","Territorio","TIPO_DATO35","Tipo dato","REATI_PS","Tipo di delitto","RIF_TIME","Periodo del commesso delitto","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","UNINTHOM","omicidi colposi","YRDUR","durante l'anno di riferimento","2008","2008",1881,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","UNINTHOM","omicidi colposi","YRDUR","durante l'anno di riferimento","2009","2009",1718,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","UNINTHOM","omicidi colposi","YRDUR","durante l'anno di riferimento","2010","2010",1765,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","UNINTHOM","omicidi colposi","YRDUR","durante l'anno di riferimento","2011","2011",1783,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","UNINTHOM","omicidi colposi","YRDUR","durante l'anno di riferimento","2012","2012",1716,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","UNINTHOM","omicidi colposi","YRDUR","durante l'anno di riferimento","2013","2013",1597,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","UNINTHOM","omicidi colposi","YRDUR","durante l'anno di riferimento","2014","2014",1633,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","UNINTHOM","omicidi colposi","YRDUR","durante l'anno di riferimento","2015","2015",1745,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","UNINTHOM","omicidi colposi","YRDUR","durante l'anno di riferimento","2016","2016",1628,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","UNINTHOM","omicidi colposi","YRDUR","durante l'anno di riferimento","2017","2017",1706,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","UNINTHOM","omicidi colposi","YRDUR","durante l'anno di riferimento","2018","2018",1733,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","UNINTHOM","omicidi colposi","YRDUR","durante l'anno di riferimento","2019","2019",1759,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","BLOWS","percosse","YRDUR","durante l'anno di riferimento","2006","2006",13809,,
"IT","Italia","CRIMEN","numero di delitti denunciati dalle forze di polizia all'autorità giudiziaria","BLOWS","percosse","YRDUR","durante l'anno di riferimento","2007","2007",14917,,
